equipmentId,timestamp,value
001,2024-07-31T21:00:00-03:00,23.2
002,2024-07-31T21:00:00-03:00,23.8
003,2024-07-31T21:00:00-03:00,23.1
004,2024-07-31T21:00:00-03:00,21.9
005,2024-07-31T21:00:00-03:00,23.0
006,2024-07-31T21:00:00-03:00,22.5
007,2024-07-31T21:00:00-03:00,22.4
008,2024-07-31T21:00:00-03:00,22.9
009,2024-07-31T21:00:00-03:00,21.5
010,2024-07-31T21:00:00-03:00,21.7
011,2024-07-31T21:00:00-03:00,23.8
012,2024-07-31T21:00:00-03:00,21.9
013,2024-07-31T21:00:00-03:00,20.3
014,2024-07-31T21:00:00-03:00,20.6
015,2024-07-31T21:00:00-03:00,23.2
016,2024-07-31T21:00:00-03:00,24.8
017,2024-07-31T21:00:00-03:00,20.2
018,2024-07-31T21:00:00-03:00,20.2
019,2024-07-31T21:00:00-03:00,21.8
020,2024-07-31T21:00:00-03:00,21.6
001,2024-07-31T22:00:00-03:00,24.4
002,2024-07-31T22:00:00-03:00,20.1
003,2024-07-31T22:00:00-03:00,21.8
004,2024-07-31T22:00:00-03:00,23.4
005,2024-07-31T22:00:00-03:00,22.6
006,2024-07-31T22:00:00-03:00,20.8
007,2024-07-31T22:00:00-03:00,20.1
008,2024-07-31T22:00:00-03:00,22.1
009,2024-07-31T22:00:00-03:00,23.9
010,2024-07-31T22:00:00-03:00,23.1
011,2024-07-31T22:00:00-03:00,21.5
012,2024-07-31T22:00:00-03:00,24.3
013,2024-07-31T22:00:00-03:00,21.2
014,2024-07-31T22:00:00-03:00,24.0
015,2024-07-31T22:00:00-03:00,21.4
016,2024-07-31T22:00:00-03:00,24.7
017,2024-07-31T22:00:00-03:00,23.9
018,2024-07-31T22:00:00-03:00,24.0
019,2024-07-31T22:00:00-03:00,24.6
020,2024-07-31T22:00:00-03:00,20.6
001,2024-07-31T23:00:00-03:00,24.9
002,2024-07-31T23:00:00-03:00,22.3
003,2024-07-31T23:00:00-03:00,23.1
004,2024-07-31T23:00:00-03:00,22.9
005,2024-07-31T23:00:00-03:00,22.1
006,2024-07-31T23:00:00-03:00,20.2
007,2024-07-31T23:00:00-03:00,20.3
008,2024-07-31T23:00:00-03:00,22.3
009,2024-07-31T23:00:00-03:00,24.9
010,2024-07-31T23:00:00-03:00,21.7
011,2024-07-31T23:00:00-03:00,20.9
012,2024-07-31T23:00:00-03:00,24.4
013,2024-07-31T23:00:00-03:00,21.8
014,2024-07-31T23:00:00-03:00,22.2
015,2024-07-31T23:00:00-03:00,22.4
016,2024-07-31T23:00:00-03:00,24.3
017,2024-07-31T23:00:00-03:00,21.2
018,2024-07-31T23:00:00-03:00,23.3
019,2024-07-31T23:00:00-03:00,21.9
020,2024-07-31T23:00:00-03:00,20.2
001,2024-08-01T00:00:00-03:00,23.8
002,2024-08-01T00:00:00-03:00,23.6
003,2024-08-01T00:00:00-03:00,21.2
004,2024-08-01T00:00:00-03:00,21.1
005,2024-08-01T00:00:00-03:00,20.4
006,2024-08-01T00:00:00-03:00,24.0
007,2024-08-01T00:00:00-03:00,21.1
008,2024-08-01T00:00:00-03:00,20.5
009,2024-08-01T00:00:00-03:00,24.1
010,2024-08-01T00:00:00-03:00,23.7
011,2024-08-01T00:00:00-03:00,22.8
012,2024-08-01T00:00:00-03:00,23.7
013,2024-08-01T00:00:00-03:00,20.9
014,2024-08-01T00:00:00-03:00,22.6
015,2024-08-01T00:00:00-03:00,20.6
016,2024-08-01T00:00:00-03:00,21.5
017,2024-08-01T00:00:00-03:00,23.3
018,2024-08-01T00:00:00-03:00,24.4
019,2024-08-01T00:00:00-03:00,24.0
020,2024-08-01T00:00:00-03:00,22.3
001,2024-08-01T01:00:00-03:00,21.5
002,2024-08-01T01:00:00-03:00,21.4
003,2024-08-01T01:00:00-03:00,23.0
004,2024-08-01T01:00:00-03:00,23.9
005,2024-08-01T01:00:00-03:00,23.4
006,2024-08-01T01:00:00-03:00,22.7
007,2024-08-01T01:00:00-03:00,24.4
008,2024-08-01T01:00:00-03:00,20.9
009,2024-08-01T01:00:00-03:00,22.9
010,2024-08-01T01:00:00-03:00,24.7
011,2024-08-01T01:00:00-03:00,22.9
012,2024-08-01T01:00:00-03:00,20.0
013,2024-08-01T01:00:00-03:00,24.9
014,2024-08-01T01:00:00-03:00,22.4
015,2024-08-01T01:00:00-03:00,22.6
016,2024-08-01T01:00:00-03:00,20.2
017,2024-08-01T01:00:00-03:00,24.4
018,2024-08-01T01:00:00-03:00,24.9
019,2024-08-01T01:00:00-03:00,20.9
020,2024-08-01T01:00:00-03:00,21.7
001,2024-08-01T02:00:00-03:00,24.9
002,2024-08-01T02:00:00-03:00,24.8
003,2024-08-01T02:00:00-03:00,23.5
004,2024-08-01T02:00:00-03:00,23.0
005,2024-08-01T02:00:00-03:00,23.4
006,2024-08-01T02:00:00-03:00,21.9
007,2024-08-01T02:00:00-03:00,24.6
008,2024-08-01T02:00:00-03:00,22.8
009,2024-08-01T02:00:00-03:00,22.4
010,2024-08-01T02:00:00-03:00,22.9
011,2024-08-01T02:00:00-03:00,21.9
012,2024-08-01T02:00:00-03:00,23.0
013,2024-08-01T02:00:00-03:00,24.7
014,2024-08-01T02:00:00-03:00,22.6
015,2024-08-01T02:00:00-03:00,20.6
016,2024-08-01T02:00:00-03:00,22.7
017,2024-08-01T02:00:00-03:00,24.8
018,2024-08-01T02:00:00-03:00,20.7
019,2024-08-01T02:00:00-03:00,23.6
020,2024-08-01T02:00:00-03:00,21.0
001,2024-08-01T03:00:00-03:00,21.4
002,2024-08-01T03:00:00-03:00,24.8
003,2024-08-01T03:00:00-03:00,23.6
004,2024-08-01T03:00:00-03:00,21.6
005,2024-08-01T03:00:00-03:00,22.1
006,2024-08-01T03:00:00-03:00,20.9
007,2024-08-01T03:00:00-03:00,22.1
008,2024-08-01T03:00:00-03:00,22.2
009,2024-08-01T03:00:00-03:00,20.1
010,2024-08-01T03:00:00-03:00,24.9
011,2024-08-01T03:00:00-03:00,23.6
012,2024-08-01T03:00:00-03:00,23.8
013,2024-08-01T03:00:00-03:00,20.5
014,2024-08-01T03:00:00-03:00,21.2
015,2024-08-01T03:00:00-03:00,23.0
016,2024-08-01T03:00:00-03:00,24.3
017,2024-08-01T03:00:00-03:00,20.2
018,2024-08-01T03:00:00-03:00,23.3
019,2024-08-01T03:00:00-03:00,22.0
020,2024-08-01T03:00:00-03:00,23.8
001,2024-08-01T04:00:00-03:00,21.4
002,2024-08-01T04:00:00-03:00,21.1
003,2024-08-01T04:00:00-03:00,22.4
004,2024-08-01T04:00:00-03:00,20.3
005,2024-08-01T04:00:00-03:00,22.8
006,2024-08-01T04:00:00-03:00,21.6
007,2024-08-01T04:00:00-03:00,23.0
008,2024-08-01T04:00:00-03:00,20.7
009,2024-08-01T04:00:00-03:00,23.7
010,2024-08-01T04:00:00-03:00,24.9
011,2024-08-01T04:00:00-03:00,23.3
012,2024-08-01T04:00:00-03:00,20.5
013,2024-08-01T04:00:00-03:00,23.0
014,2024-08-01T04:00:00-03:00,22.6
015,2024-08-01T04:00:00-03:00,24.7
016,2024-08-01T04:00:00-03:00,21.6
017,2024-08-01T04:00:00-03:00,21.7
018,2024-08-01T04:00:00-03:00,24.2
019,2024-08-01T04:00:00-03:00,21.8
020,2024-08-01T04:00:00-03:00,24.1
001,2024-08-01T05:00:00-03:00,23.3
002,2024-08-01T05:00:00-03:00,24.5
003,2024-08-01T05:00:00-03:00,23.6
004,2024-08-01T05:00:00-03:00,24.7
005,2024-08-01T05:00:00-03:00,21.6
006,2024-08-01T05:00:00-03:00,21.0
007,2024-08-01T05:00:00-03:00,22.5
008,2024-08-01T05:00:00-03:00,22.0
009,2024-08-01T05:00:00-03:00,23.7
010,2024-08-01T05:00:00-03:00,21.6
011,2024-08-01T05:00:00-03:00,23.5
012,2024-08-01T05:00:00-03:00,23.0
013,2024-08-01T05:00:00-03:00,24.6
014,2024-08-01T05:00:00-03:00,21.7
015,2024-08-01T05:00:00-03:00,23.7
016,2024-08-01T05:00:00-03:00,21.4
017,2024-08-01T05:00:00-03:00,23.1
018,2024-08-01T05:00:00-03:00,20.9
019,2024-08-01T05:00:00-03:00,21.7
020,2024-08-01T05:00:00-03:00,24.1
001,2024-08-01T06:00:00-03:00,22.1
002,2024-08-01T06:00:00-03:00,24.6
003,2024-08-01T06:00:00-03:00,24.3
004,2024-08-01T06:00:00-03:00,24.7
005,2024-08-01T06:00:00-03:00,24.4
006,2024-08-01T06:00:00-03:00,20.6
007,2024-08-01T06:00:00-03:00,21.3
008,2024-08-01T06:00:00-03:00,20.1
009,2024-08-01T06:00:00-03:00,22.9
010,2024-08-01T06:00:00-03:00,20.5
011,2024-08-01T06:00:00-03:00,20.3
012,2024-08-01T06:00:00-03:00,24.4
013,2024-08-01T06:00:00-03:00,21.1
014,2024-08-01T06:00:00-03:00,20.9
015,2024-08-01T06:00:00-03:00,24.9
016,2024-08-01T06:00:00-03:00,23.4
017,2024-08-01T06:00:00-03:00,25.0
018,2024-08-01T06:00:00-03:00,25.0
019,2024-08-01T06:00:00-03:00,22.3
020,2024-08-01T06:00:00-03:00,24.4
001,2024-08-01T07:00:00-03:00,24.3
002,2024-08-01T07:00:00-03:00,20.0
003,2024-08-01T07:00:00-03:00,22.8
004,2024-08-01T07:00:00-03:00,20.7
005,2024-08-01T07:00:00-03:00,23.8
006,2024-08-01T07:00:00-03:00,20.3
007,2024-08-01T07:00:00-03:00,21.8
008,2024-08-01T07:00:00-03:00,24.9
009,2024-08-01T07:00:00-03:00,21.0
